Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Rafael Devers,BOS,70,276,50,84,18,2,10,44,8,4,23,51,1,1,2,.304,.361,.493,.854
Nolan Arenado,COL,69,272,51,89,16,2,17,57,2,1,25,36,0,4,2,.327,.383,.588,.971
Matt Chapman,OAK,70,268,44,69,15,2,16,37,0,1,33,58,0,2,4,.257,.345,.507,.852
Brian Anderson,MIA,67,253,22,62,13,0,7,28,4,1,27,64,0,2,7,.245,.332,.379,.711
Jose Ramirez,CLE,68,252,25,51,11,1,4,24,16,2,33,42,0,3,2,.202,.297,.302,.599
Mike Moustakas,MIL,63,250,46,70,15,0,21,45,3,0,21,51,0,0,4,.280,.345,.592,.937
Eugenio Suarez,CIN,68,247,34,64,13,0,15,42,1,2,30,68,0,4,3,.259,.342,.494,.836
Renato Nunez,BAL,68,246,33,60,12,0,16,38,0,1,15,65,0,0,4,.244,.298,.488,.786
Kris Bryant,CHC,66,244,55,67,19,1,15,38,1,0,39,53,0,1,10,.275,.395,.545,.940
Josh Donaldson,ATL,67,238,39,58,16,0,11,31,1,1,37,77,0,0,3,.244,.353,.450,.803
Tommy La Stella,LAA,64,224,40,68,6,0,15,39,0,0,17,20,0,0,3,.304,.361,.531,.892
Justin Turner,LAD,63,224,33,69,10,0,7,28,1,0,26,38,0,4,8,.308,.393,.446,.839
Wil Myers,SD,69,217,37,49,9,0,11,23,9,3,29,89,0,0,2,.226,.323,.419,.742
Maikel Franco,PHI,65,215,26,44,10,0,9,32,0,0,22,28,0,1,0,.205,.277,.377,.654
Yandy Diaz,TB,55,213,35,60,12,1,11,30,1,1,27,40,0,3,1,.282,.361,.502,.863
Evan Longoria,SF,62,209,23,49,12,1,7,26,2,0,21,47,0,1,2,.234,.309,.402,.711
Anthony Rendon,WAS,56,204,49,64,19,2,15,48,1,0,30,39,0,2,5,.314,.411,.647,1.058
Brandon Drury,TOR,56,201,21,44,12,1,6,18,0,0,11,62,0,2,1,.219,.260,.378,.638
Hanser Alberto,BAL,55,197,17,60,6,0,3,14,4,2,5,20,0,2,1,.305,.322,.381,.703
Rio Ruiz,BAL,63,194,16,45,6,0,4,17,0,0,21,48,0,1,0,.232,.306,.325,.631
Colin Moran,PIT,67,193,24,52,9,0,10,40,0,0,16,51,0,1,0,.269,.324,.472,.796
Michael Chavis,BOS,51,191,29,49,4,1,12,34,2,1,22,69,0,0,3,.257,.343,.476,.819
Hunter Dozier,KC,52,185,27,58,12,3,11,33,1,1,26,41,0,3,2,.314,.398,.589,.987
Gio Urshela,NYY,58,178,27,54,12,0,5,30,1,0,14,31,0,4,3,.303,.357,.455,.812
J.D. Davis,NYM,58,166,24,46,8,1,8,21,0,0,15,36,0,0,1,.277,.341,.482,.823
Jeimer Candelario,DET,42,156,18,28,6,1,2,9,2,1,20,50,0,0,1,.179,.277,.269,.546
Martin Prado,MIA,51,155,17,37,7,0,1,12,0,0,6,23,0,2,0,.239,.264,.303,.567
Todd Frazier,NYM,46,150,20,38,5,1,6,22,1,1,15,39,0,0,4,.253,.337,.420,.757
Vladimir Guerrero Jr.,TOR,40,149,16,40,8,0,7,19,0,1,14,30,0,1,1,.268,.333,.463,.796
Pablo Sandoval,SF,63,140,21,40,14,0,9,26,1,0,8,39,0,2,0,.286,.320,.579,.899
Johan Camargo,ATL,52,122,17,29,7,1,2,15,1,0,7,23,0,0,0,.238,.279,.361,.640
Austin Riley,ATL,29,116,23,34,4,1,11,31,0,2,4,39,0,0,3,.293,.333,.629,.962
David Freese,LAD,51,105,27,33,10,0,8,22,0,0,20,27,0,0,0,.314,.424,.638,1.062
Jung Ho Kang,PIT,37,104,7,15,3,0,5,10,0,0,9,35,0,0,0,.144,.212,.317,.529
Ty France,SD,34,98,8,23,4,1,2,10,0,1,4,25,0,1,4,.235,.290,.357,.647
Zack Cozart,LAA,38,97,4,12,2,0,0,7,0,0,5,16,0,3,2,.124,.178,.144,.322
Kyle Seager,SEA,21,83,11,18,3,0,4,9,1,0,11,21,0,1,1,.217,.313,.398,.711
Miguel Sano,MIN,20,75,16,18,7,0,6,12,0,0,10,31,0,1,0,.240,.326,.573,.899
Kelvin Gutierrez,KC,20,73,4,19,2,1,1,11,1,0,5,24,0,1,0,.260,.304,.356,.660
Jedd Gyorko,STL,38,56,5,11,0,0,2,7,2,0,6,14,0,0,0,.196,.274,.304,.578
Christian Arroyo,TB,16,50,8,11,2,0,2,7,0,0,5,18,1,0,1,.220,.304,.380,.684
Cheslor Cuthbert,KC,13,49,3,14,2,0,3,10,1,0,3,15,0,0,0,.286,.327,.510,.837
Miguel Andujar,NYY,12,47,1,6,0,0,0,1,0,0,1,11,0,1,0,.128,.143,.128,.271
Patrick Wisdom,TEX,9,26,1,4,1,0,0,1,0,0,1,15,1,0,0,.154,.185,.192,.377
Luis Guillorme,NYM,12,18,4,3,0,0,0,0,0,0,1,6,0,0,0,.167,.211,.167,.378
Josh Fuentes,COL,9,18,2,2,0,0,0,0,0,0,0,8,0,0,0,.111,.111,.111,.222
Jake Lamb,ARI,5,15,1,4,1,0,0,2,0,0,3,6,0,0,0,.267,.389,.333,.722
Taylor Ward,LAA,6,10,1,1,1,0,0,0,0,0,0,7,0,0,0,.100,.100,.200,.300
Mitch Walding,PHI,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000